variant,H1_log10Kd,H9_log10Kd,fdl_x,fdl_y
00000000000,-7.0,-7.0,-98.19921875,4.352488517761231
00000000001,-7.0,-7.0,-98.83013153076172,4.195428848266602
00000000010,-7.0,-7.0,-98.75084686279295,4.443516731262207
00000000011,-7.0,-7.0,-99.03646087646484,4.043801307678223
00000000100,-7.0,-7.0,-97.85214233398438,4.313961029052734
00000000101,-7.0,-7.0,-97.91736602783205,4.061000823974609
00000000110,-8.549745180506626,-7.068712925208932,7.362637042999268,-133.04270935058594
00000000111,-8.543072711756809,-7.441028811858243,7.204477310180664,-132.99118041992188
00000001000,-7.0,-7.0,-98.17296600341795,4.254501819610596
00000001001,-7.0,-7.0,-98.59668731689452,3.849934339523315
00000001010,-7.0,-7.0,-98.71929168701172,4.2010579109191895
00000001011,-7.0,-7.0,-98.96590423583984,3.814411163330078
00000001100,-7.0,-7.0,-97.76958465576172,3.815808773040772
00000001101,-7.0,-7.0,-98.12163543701172,3.7500159740448
00000001110,-7.0,-7.0,-97.9168701171875,4.126645565032959
00000001111,-7.3553331800292865,-7.0,-98.42060089111328,2.66970157623291
00000010000,,-7.0,,
00000010001,,-7.0,,
00000010010,,-7.0,,
00000010011,,-7.0,,
00000010100,-8.702893591723257,-7.0,4.193090438842773,-135.1079559326172
00000010101,-8.693551395769541,-7.0,4.294114112854004,-135.27297973632812
00000010110,-8.631634357249698,-7.431245400925553,5.230901718139648,-134.49990844726562
00000010111,-8.633488527729758,-7.703659167999074,5.647122383117676,-133.9561004638672
00000011000,-8.663806036459206,-7.0,-1.225523591041565,-121.7432098388672
00000011001,-8.939801935181901,-7.0,16.845457077026367,-7.625845432281494
00000011010,-8.409736027735965,-7.0,-3.299818515777588,-136.47596740722656
00000011011,-8.607042974617535,-7.0,-7.108957290649414,-140.85614013671875
00000011100,-8.508625030797356,-7.0,0.7567727565765381,-134.43833923339844
00000011101,-8.543783938500829,-7.0,1.4181936979293823,-135.83074951171875
00000011110,-8.461481539241923,-7.0,0.1034544631838798,-136.23976135253906
00000011111,-8.489019879624085,-7.0,0.2486557364463806,-136.6813507080078
00000100000,-7.0,-7.0,-98.22366333007812,4.109040260314941
00000100001,-7.0,-7.889723553756733,-98.63512420654295,3.7920963764190674
00000100010,-7.0,-7.0,-98.7902374267578,4.201826095581055
00000100011,-7.0,-8.022546652503115,-99.10401153564452,3.6418707370758057
00000100100,-7.0,-7.180182065400968,-97.57816314697266,4.032158374786377
00000100101,-7.0,-7.448517737449161,-97.80807495117188,3.688211679458618
00000100110,-7.758954659052073,-8.885610541377707,-82.73550415039062,26.670618057250977
00000100111,-8.037178308832384,-8.944533525131423,-80.45343017578125,30.16279411315918
00000101000,-7.0,-7.0,-98.45255279541016,3.736406564712525
00000101001,-7.0,-8.368244429971647,-98.05139923095705,3.3179452419281006
00000101010,-7.0,-7.0,-98.82076263427734,3.745988607406616
00000101011,-7.0,-7.083186890080429,-98.63448333740234,3.0754950046539307
00000101100,-7.0,-7.610808456730126,-97.9154052734375,3.595611333847046
00000101101,-7.0,-8.217689790130335,-97.9506607055664,3.447153091430664
00000101110,-7.0,-7.4528699341198035,-98.7895965576172,3.371316909790039
00000101111,-7.0,-8.457351750546257,-98.5501708984375,3.4813992977142334
00000110000,-7.958844906870341,-8.869846578201892,-26.200130462646484,-146.78030395507812
00000110001,-8.256222189201083,-9.162707782499425,-28.888526916503903,-147.55877685546875
00000110010,-7.808896117313907,-8.52138998003012,-25.072250366210938,-146.64749145507812
00000110011,-8.241438649633489,-9.024146298860003,-28.39525032043457,-147.22320556640625
00000110100,-8.933191447651902,,0.4179559051990509,-137.79403686523438
00000110101,,,,
00000110110,-9.074456454642856,,0.4932254254817962,-138.2739715576172
00000110111,,,,
00000111000,-8.405686104835512,-9.213848444586445,-10.17154598236084,-138.8462677001953
00000111001,-8.599467346836041,-9.380859564103783,-10.833762168884276,-142.43162536621094
00000111010,-8.291897233198853,-9.04341911441845,-10.496042251586914,-141.1063690185547
00000111011,-8.59787999950579,-9.246394065410849,-10.023472785949709,-142.59375
00000111100,-8.75776240301573,-9.407609359009676,-3.066878318786621,-139.93605041503906
00000111101,-8.786721894916923,-9.465029345559763,-4.091153144836426,-140.1676788330078
00000111110,-8.794214399656294,-9.164650600393898,-3.047072410583496,-140.20147705078125
00000111111,-9.008126653760804,-9.33878038443464,-4.053442001342773,-141.07191467285156
00001000000,-7.0,-7.0,-98.14417266845705,4.13053035736084
00001000001,-7.0,-7.0,-98.292724609375,4.223934173583984
00001000010,-7.0,-7.0,-98.95213317871094,4.501023292541504
00001000011,-7.0,-7.0,-99.06268310546876,4.219223499298096
00001000100,-7.0,-7.0,-97.61371612548828,4.168522357940674
00001000101,-7.0,-7.0,-97.81990814208984,4.162148475646973
00001000110,-8.639242454057415,-7.160394640458523,6.947710514068604,-133.27427673339844
00001000111,-8.639133960860951,-7.466207204259758,6.818387031555176,-133.3092041015625
00001001000,-7.0,-7.0,-98.35399627685548,4.389418601989746
00001001001,-7.0,-7.0,-98.4790267944336,4.236147880554199
00001001010,-7.0,-7.0,-98.73583221435548,4.058728694915772
00001001011,-7.0,-7.0,-98.81637573242188,3.914330244064331
00001001100,-7.0,-7.0,-97.70266723632812,4.023142337799072
00001001101,-7.0,-7.0,-97.94587707519533,3.624117136001587
00001001110,-7.566297583297312,-7.0,-96.96666717529295,2.4728424549102783
